dataset,window_start,window_end,week_start,week_end,date,prediction_raw,prediction,actual,error,mae_week,rmse_week,mape_week
usage_2,2024-04-01,2024-04-01,2024-04-01,2024-04-01,2024-04-01,1856.4141845703125,1856.4141845703125,2222.78,-366.3658154296877,366.3658154296877,366.3658154296877,16.4823246308536
usage_2,2024-04-02,2024-04-02,2024-04-02,2024-04-02,2024-04-02,2032.3621826171875,2398.72802734375,2530.6,-131.8719726562499,131.8719726562499,131.8719726562499,5.21109510219908
usage_2,2024-04-03,2024-04-03,2024-04-03,2024-04-03,2024-04-03,1935.7952880859375,2368.09716796875,2317.01,51.08716796874978,51.08716796874978,51.08716796874978,2.2048747294465616
usage_2,2024-04-04,2024-04-04,2024-04-04,2024-04-04,2024-04-04,1872.122802734375,2287.3955078125,1989.3,298.09550781250005,298.09550781250005,298.09550781250005,14.98494484554869
usage_2,2024-04-05,2024-04-05,2024-04-05,2024-04-05,2024-04-05,1194.0086669921875,1534.757568359375,1422.87,111.88756835937511,111.88756835937511,111.88756835937511,7.8635130658018735
usage_2,2024-04-06,2024-04-06,2024-04-06,2024-04-06,2024-04-06,1012.9609985351562,1331.3323974609375,1290.95,40.382397460937455,40.382397460937455,40.382397460937455,3.1281147574218564
usage_2,2024-04-07,2024-04-07,2024-04-07,2024-04-07,2024-04-07,1240.9935302734375,1552.634521484375,1195.67,356.9645214843749,356.9645214843749,356.9645214843749,29.85476941667642
