dataset,window_start,window_end,week_start,week_end,date,prediction,actual,error,mae_week,rmse_week,mape_week
usage_2,2024-04-01,2024-04-01,2024-04-01,2024-04-01,2024-04-01,1970.902099609375,2222.78,-251.8779003906252,251.8779003906252,251.8779003906252,11.331661270599213
usage_2,2024-04-02,2024-04-02,2024-04-02,2024-04-02,2024-04-02,2196.441650390625,2530.6,-334.1583496093749,334.1583496093749,334.1583496093749,13.204708354120562
usage_2,2024-04-03,2024-04-03,2024-04-03,2024-04-03,2024-04-03,2033.2852783203125,2317.01,-283.7247216796877,283.7247216796877,283.7247216796877,12.245295517916958
usage_2,2024-04-04,2024-04-04,2024-04-04,2024-04-04,2024-04-04,1762.9674072265625,1989.3,-226.33259277343745,226.33259277343745,226.33259277343745,11.377499259711328
usage_2,2024-04-05,2024-04-05,2024-04-05,2024-04-05,2024-04-05,1088.999267578125,1422.87,-333.8707324218749,333.8707324218749,333.8707324218749,23.4645984820732
usage_2,2024-04-06,2024-04-06,2024-04-06,2024-04-06,2024-04-06,957.1762084960938,1290.95,-333.7737915039063,333.7737915039063,333.7737915039063,25.854896897936115
usage_2,2024-04-07,2024-04-07,2024-04-07,2024-04-07,2024-04-07,1456.1160888671875,1195.67,260.4460888671874,260.4460888671874,260.4460888671874,21.7824390398009
